discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,athlete_full_name,country_name,country_code,country_3_letter_code
Freestyle Skiing,beijing-2022,Women's Aerials,Women,GOLD,Athlete,Mengtao XU,People's Republic of China,CN,CHN
Freestyle Skiing,beijing-2022,Women's Aerials,Women,BRONZE,Athlete,Megan NICK,United States of America,US,USA
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,SILVER,Athlete,Cassie SHARPE,Canada,CA,CAN
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,GOLD,Athlete,Ailing Eileen GU,People's Republic of China,CN,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,BRONZE,Athlete,Rachel KARKER,Canada,CA,CAN
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,SILVER,Athlete,Ailing Eileen GU,People's Republic of China,CN,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,GOLD,Athlete,Mathilde GREMAUD,Switzerland,CH,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,BRONZE,Athlete,Kelly SILDARU,Estonia,EE,EST
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,SILVER,Athlete,Nicholas GOEPPER,United States of America,US,USA
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,BRONZE,Athlete,Jesper TJADER,Sweden,SE,SWE
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,GOLD,Athlete,Alexander HALL,United States of America,US,USA
Short Track Speed Skating,beijing-2022,Women's 500m,Women,SILVER,Athlete,Suzanne SCHULTING,Netherlands,NL,NED
Short Track Speed Skating,beijing-2022,Women's 500m,Women,BRONZE,Athlete,Kim BOUTIN,Canada,CA,CAN
Short Track Speed Skating,beijing-2022,Women's 500m,Women,GOLD,Athlete,Arianna FONTANA,Italy,IT,ITA
Short Track Speed Skating,beijing-2022,Men's 500m,Men,BRONZE,Athlete,Steven DUBOIS,Canada,CA,CAN
Short Track Speed Skating,beijing-2022,Men's 500m,Men,GOLD,Athlete,Shaoang LIU,Hungary,HU,HUN
Short Track Speed Skating,beijing-2022,Men's 500m,Men,SILVER,Athlete,Konstantin IVLIEV,ROC,ROC,ROC
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,GOLD,GameTeam,,Canada,CA,CAN
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,SILVER,GameTeam,,Republic of Korea,KR,KOR
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,BRONZE,GameTeam,,Italy,IT,ITA
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,GOLD,GameTeam,,People's Republic of China,CN,CHN
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,SILVER,GameTeam,,Italy,IT,ITA
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,BRONZE,GameTeam,,Hungary,HU,HUN
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,BRONZE,Athlete,Semen ELISTRATOV,ROC,ROC,ROC
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,GOLD,Athlete,Daeheon HWANG,Republic of Korea,KR,KOR
Short Track Speed Skating,beijing-2022,Men's 1500m,Men,SILVER,Athlete,Steven DUBOIS,Canada,CA,CAN
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,GOLD,Athlete,Ziwei REN,People's Republic of China,CN,CHN
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,SILVER,Athlete,Wenlong LI,People's Republic of China,CN,CHN
Short Track Speed Skating,beijing-2022,Men's 1000m,Men,BRONZE,Athlete,Shaoang LIU,Hungary,HU,HUN
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,GOLD,GameTeam,,Netherlands,NL,NED
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,SILVER,GameTeam,,Republic of Korea,KR,KOR
Short Track Speed Skating,beijing-2022,Women's 3000m Relay,Women,BRONZE,GameTeam,,People's Republic of China,CN,CHN
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,GOLD,Athlete,Suzanne SCHULTING,Netherlands,NL,NED
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,SILVER,Athlete,Minjeong CHOI,Republic of Korea,KR,KOR
Short Track Speed Skating,beijing-2022,Women's 1000m,Women,BRONZE,Athlete,Hanne DESMET,Belgium,BE,BEL
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,GOLD,Athlete,Minjeong CHOI,Republic of Korea,KR,KOR
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,BRONZE,Athlete,Suzanne SCHULTING,Netherlands,NL,NED
Short Track Speed Skating,beijing-2022,Women's 1500m,Women,SILVER,Athlete,Arianna FONTANA,Italy,IT,ITA
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,SILVER,Athlete,Queralt CASTELLET,Spain,ES,ESP
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,BRONZE,Athlete,Sena TOMITA,Japan,JP,JPN
Snowboard,beijing-2022,Women's Snowboard Halfpipe,Women,GOLD,Athlete,Chloe KIM,United States of America,US,USA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,Nick BAUMGARTNER,United States of America,US,USA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,Lindsey JACOBELLIS,United States of America,US,USA
